Date,Open,High,Low,Close,Adj Close,Volume
2017-05-15,6050.000000,6062.500000,5975.000000,6062.500000,5136.799316,22853000
2017-05-16,6062.500000,6075.000000,5975.000000,5987.500000,5073.250977,37959000
2017-05-17,5987.500000,6025.000000,5900.000000,6000.000000,5083.842773,42443600
2017-05-18,6000.000000,6075.000000,5925.000000,6075.000000,5147.390625,17782200
2017-05-19,6075.000000,6637.500000,5987.500000,6450.000000,5465.130859,56546600
2017-05-22,6600.000000,6650.000000,6200.000000,6262.500000,5306.260742,51414600
2017-05-23,6262.500000,6287.500000,6050.000000,6125.000000,5189.756348,36808200
2017-05-24,6025.000000,6200.000000,6000.000000,6200.000000,5253.303711,25251400
2017-05-26,6237.500000,6250.000000,6050.000000,6075.000000,5147.390625,28789000
2017-05-29,6150.000000,6200.000000,6075.000000,6175.000000,5232.121094,23285000
2017-05-30,6125.000000,6237.500000,6125.000000,6212.500000,5263.895020,20109200
2017-05-31,6250.000000,6300.000000,6175.000000,6300.000000,5338.034668,42621800
2017-06-01,6300.000000,6300.000000,6300.000000,6300.000000,5338.034668,0
2017-06-02,6425.000000,6425.000000,6250.000000,6300.000000,5338.034668,29914600
2017-06-05,6300.000000,6387.500000,6287.500000,6337.500000,5369.809082,23522800
2017-06-06,6287.500000,6362.500000,6187.500000,6250.000000,5295.668945,14360600
2017-06-07,6175.000000,6250.000000,6175.000000,6200.000000,5253.303711,24686000
2017-06-08,6175.000000,6200.000000,6100.000000,6162.500000,5221.529785,35601400
2017-06-09,6150.000000,6225.000000,6100.000000,6112.500000,5179.164551,16127000
2017-06-12,6137.500000,6162.500000,6112.500000,6112.500000,5179.164551,12860200
2017-06-13,6075.000000,6212.500000,6075.000000,6125.000000,5189.756348,16976200
2017-06-14,6162.500000,6275.000000,6150.000000,6250.000000,5295.668945,23601200
2017-06-15,6250.000000,6375.000000,6225.000000,6250.000000,5295.668945,46893400
2017-06-16,6225.000000,6250.000000,6162.500000,6237.500000,5285.078125,43756000
2017-06-19,6237.500000,6262.500000,6200.000000,6237.500000,5285.078125,15338800
2017-06-20,6225.000000,6262.500000,6137.500000,6262.500000,5306.260742,34844000
2017-06-21,6225.000000,6350.000000,6212.500000,6350.000000,5380.400391,97317200
